Unique ID	Make	Model	Trim	VIN	Color	Mileage	Price	ImgUrl
LHLT856A	Toyota	Highlander	Limited	5TDDK3EH1DS266660	Red	48,473	$25,309	http://www.irwinhyundai.com/assets/inventory/vehicles/5tddk3eh1ds266660/ip/thumbs/1-320.jpg
CD565	Toyota	Highlander	Limited	5TDDK3EH3DS176538	Gray	<li class="mileageDisplay"><strong>Mileage: </strong>10</li>	N/A	http://www.irwinhyundai.com/assets/inventory/vehicles/5tddk3eh3ds176538/ip/thumbs/1-320.jpg
LHJT916A	Toyota	Tundra	4WD Truck DBL CAB 4X4 5.7L V8	5TFUY5F11DX316088	Gray	34,209	$28,258	http://www.irwinhyundai.com/assets/inventory/vehicles/5tfuy5f11dx316088/ip/thumbs/1-320.jpg
HJC940A	Toyota	Prius	Three	JTDKN3DU7D1677636	Blue	89,325	$12,809	http://www.irwinhyundai.com/assets/inventory/vehicles/jtdkn3du7d1677636/ip/thumbs/1-320.jpg
HJT848A	Scion	xD	Stick Shift	JTKKUPB46D1036760	Gray	52,789	$9,684	http://www.irwinhyundai.com/assets/inventory/vehicles/jtkkupb46d1036760/ip/thumbs/1-320.jpg
HJC880A	Toyota	RAV4	LE	JTMBFREV5D5005851	Blue	57,122	$16,369	http://www.irwinhyundai.com/assets/inventory/vehicles/jtmbfrev5d5005851/ip/thumbs/1-320.jpg
HFT554A	Hyundai	Tucson	GLS	KM8JUCAC7DU731604	Silver	31,009	$18,096	http://www.irwinhyundai.com/assets/inventory/vehicles/km8jucac7du731604/ip/thumbs/1-320.jpg
HHC218A	Hyundai	Elantra	GT	KMHD35LE1DU062353	Black	105,608	$7,000	http://www.irwinhyundai.com/assets/inventory/vehicles/kmhd35le1du062353/ip/thumbs/1-320.jpg
CD503	Ford	Taurus	SE	1FAHP2DW9CG109695	White	34,020	N/A	http://www.irwinhyundai.com/assets/inventory/vehicles/1fahp2dw9cg109695/ip/thumbs/1-320.jpg
CD517	Ford	Taurus	SEL	1FAHP2HW4CG121733	Black	34,054	N/A	http://www.irwinhyundai.com/assets/inventory/vehicles/1fahp2hw4cg121733/ip/thumbs/1-320.jpg
CD549	Ford	Econoline	Cargo Van	1FTSS3EL5CDA80237	White	<li class="mileageDisplay"><strong>Mileage: </strong>10</li>	N/A	http://www.irwinhyundai.com/assets/inventory/vehicles/1ftss3el5cda80237/ip/thumbs/1-320.jpg
LHJT657A	Chevrolet	Silverado	1500 LT	1GCRKSE79CZ333168	Black	49,842	$26,458	http://www.irwinhyundai.com/assets/inventory/vehicles/1gcrkse79cz333168/ip/thumbs/1-320.jpg
LB820A	GMC	Acadia	SLE	1GKKVPED6CJ249100	Chrome Metalli	47,872	$21,052	http://www.irwinhyundai.com/assets/inventory/vehicles/1gkkvped6cj249100/ip/thumbs/1-320.jpg
HJC882A	Nissan	Altima	2.5 S	1N4AL2AP9CC214948	Black	94,830	$9,899	http://www.irwinhyundai.com/assets/inventory/vehicles/1n4al2ap9cc214948/ip/thumbs/1-320.jpg
CD561	Ford	Fusion	SE	3FAHP0HA7CR441002	Silver	<li class="mileageDisplay"><strong>Mileage: </strong>10</li>	N/A	http://www.irwinhyundai.com/assets/inventory/vehicles/3fahp0ha7cr441002/ip/thumbs/1-320.jpg
CD560	Ford	Fusion	SE	3FAHP0HA8CR441526	White	<li class="mileageDisplay"><strong>Mileage: </strong>10</li>	N/A	http://www.irwinhyundai.com/assets/inventory/vehicles/3fahp0ha8cr441526/ip/thumbs/1-320.jpg
HFC655B	Chevrolet	Captiva	Sport Fleet LT	3GNAL3E57CS632015	Black	120,633	$10,205	http://www.irwinhyundai.com/assets/inventory/vehicles/3gnal3e57cs632015/ip/thumbs/1-320.jpg
HJC931A	Toyota	Camry	Hybrid XLE	4T1BD1FK7CU047532	White	51,426	$15,000	http://www.irwinhyundai.com/assets/inventory/vehicles/4t1bd1fk7cu047532/ip/thumbs/1-320.jpg
GFT350A	Toyota	Camry	XLE	4T1BK1FK6CU505809	Silver	66,389	$14,808	http://www.irwinhyundai.com/assets/inventory/vehicles/4t1bk1fk6cu505809/ip/thumbs/1-320.jpg
HJT765A	Toyota	Camry	XLE	4T4BF1FKXCR219813	Silver	48,483	$14,000	http://www.irwinhyundai.com/assets/inventory/vehicles/4t4bf1fkxcr219813/ip/thumbs/1-320.jpg
HJT899A	Toyota	Camry	LE	4T4BF1FKXCR234974	Gray	58,675	$12,380	http://www.irwinhyundai.com/assets/inventory/vehicles/4t4bf1fkxcr234974/ip/thumbs/1-320.jpg
LHJT840A	Honda	CR-V	EX	5J6RM4H55CL033558	Red	92,438	$13,429	http://www.irwinhyundai.com/assets/inventory/vehicles/5j6rm4h55cl033558/ip/thumbs/1-320.jpg
HJT795B	Kia	Optima	EX	5XXGN4A73CG042054	Gray	55,769	$13,545	http://www.irwinhyundai.com/assets/inventory/vehicles/5xxgn4a73cg042054/ip/thumbs/1-320.jpg
HJT802A	Honda	CR-V	EX-L	JHLRM4H79CC008382	Blue	90,050	$15,706	http://www.irwinhyundai.com/assets/inventory/vehicles/jhlrm4h79cc008382/ip/thumbs/1-320.jpg
CJC491	Toyota	Prius	c	JTDKDTB36C1007541	Blue	4,072	$26,264	http://www.irwinhyundai.com/assets/inventory/vehicles/jtdkdtb36c1007541/ip/thumbs/1-320.jpg
LGFT466A	Ford	Super	Duty F-350 SRW Lariat Diesel	1FT8W3BT8BEC27873	Black	70,777	$37,190	http://www.irwinhyundai.com/assets/inventory/vehicles/1ft8w3bt8bec27873/ip/thumbs/1-320.jpg
HJT600B	Ford	F-150	XLT	1FTFW1EFXBFC82384	Blue	78,844	$21,147	http://www.irwinhyundai.com/assets/inventory/vehicles/1ftfw1efxbfc82384/ip/thumbs/1-320.jpg
HJT805A	Chevrolet	Traverse	LT w/2LT	1GNKVJED4BJ114227	White	71,685	$16,337	http://www.irwinhyundai.com/assets/inventory/vehicles/1gnkvjed4bj114227/ip/thumbs/1-320.jpg
LHJC1027A	Chevrolet	Traverse	LT w/2LT	1GNKVJEDXBJ148561	Gray	141,548	$12,079	http://www.irwinhyundai.com/assets/inventory/vehicles/1gnkvjedxbj148561/ip/thumbs/1-320.jpg
HPT037A	Ford	Police	Interceptor Police Interceptor	2FABP7BV1BX123581	N/A	<li class="mileageDisplay"><strong>Mileage: </strong>0</li>	$2,998	http://www.irwinhyundai.com/assets/inventory/vehicles/2fabp7bv1bx123581/ip/thumbs/1-320.jpg
HJT614A	Ford	Edge	SEL	2FMDK4JCXBBB57673	Slate Metallic	74,590	$15,946	http://www.irwinhyundai.com/assets/inventory/vehicles/2fmdk4jcxbbb57673/ip/thumbs/1-320.jpg
HFT415A	Toyota	Camry	LE	4T1BF3EK1BU762702	Silver	40,562	$12,365	http://www.irwinhyundai.com/assets/inventory/vehicles/4t1bf3ek1bu762702/ip/thumbs/1-320.jpg
HJT704A	Toyota	Camry	SE	4T1BF3EK3BU752933	Blue	63,078	$12,249	http://www.irwinhyundai.com/assets/inventory/vehicles/4t1bf3ek3bu752933/ip/thumbs/1-320.jpg
HJC1006A	Hyundai	Elantra	GLS	5NPDH4AEXBH026820	Silver	87,383	$8,512	http://www.irwinhyundai.com/assets/inventory/vehicles/5npdh4aexbh026820/ip/thumbs/1-320.jpg
HJC782A	Toyota	Tacoma	Ext Cab 2WD	5TFTX4CNXBX009323	Red	74,876	$14,000	http://www.irwinhyundai.com/assets/inventory/vehicles/5tftx4cnxbx009323/ip/thumbs/1-320.jpg
HJT580A	Toyota	Tacoma	N/A	5TFUU4EN5BX004816	Silver	87,600	$19,750	http://www.irwinhyundai.com/assets/inventory/vehicles/5tfuu4en5bx004816/ip/thumbs/1-320.jpg
HJT739A	Toyota	Prius	II	JTDKN3DUXB1363802	Blue	56,025	$12,611	http://www.irwinhyundai.com/assets/inventory/vehicles/jtdkn3duxb1363802/ip/thumbs/1-320.jpg
LHFT547A	Ford	F-150	XLT	1FTFW1EV8AFB30450	Blue	85,393	$20,511	http://www.irwinhyundai.com/assets/inventory/vehicles/1ftfw1ev8afb30450/ip/thumbs/1-320.jpg
HFT367B	Ford	Super	Duty F-250 SRW XLT	1FTSX2B59AEA37965	Green	106,148	$20,319	http://www.irwinhyundai.com/assets/inventory/vehicles/1ftsx2b59aea37965/ip/thumbs/1-320.jpg
HFT372A	Jeep	Grand	Cherokee Limited	1J4RR5GTXAC127083	N/A	80,722	$14,546	http://www.irwinhyundai.com/assets/inventory/vehicles/1j4rr5gtxac127083/ip/thumbs/1-320.jpg
HPT038A	Chevrolet	Impala	Police Police	2G1WD5EM5A1236830	N/A	<li class="mileageDisplay"><strong>Mileage: </strong>0</li>	$2,998	http://www.irwinhyundai.com/assets/inventory/vehicles/2g1wd5em5a1236830/ip/thumbs/1-320.jpg
LB812A	Toyota	Corolla	LE	2T1BU4EE6AC327910	Red	125,804	$7,188	http://www.irwinhyundai.com/assets/inventory/vehicles/2t1bu4ee6ac327910/ip/thumbs/1-320.jpg
HJT455A	Ford	Fusion	SE	3FAHP0HA1AR191754	Black	133,473	$4,998	http://www.irwinhyundai.com/assets/inventory/vehicles/3fahp0ha1ar191754/ip/thumbs/1-320.jpg
HJT709A	Subaru	Outback	Ltd Pwr Moon	4S4BRDKC4A2375663	Green	83,086	$13,847	http://www.irwinhyundai.com/assets/inventory/vehicles/4s4brdkc4a2375663/ip/thumbs/1-320.jpg
HJT668A	Toyota	Camry	LE	4T4BF3EK3AR071093	Blue	110,596	$8,557	http://www.irwinhyundai.com/assets/inventory/vehicles/4t4bf3ek3ar071093/ip/thumbs/1-320.jpg
